backend,engine,transactionMode,test,workload,tenantMode,tenantCount,concurrency,run,success,errors,errorRate,rps,p50,p90,p95,p99,mean,max,dbP50,replicaRate,attempted,attemptsTotal,committed,successAfterRetry,failedAfterRetries,conflicts,conflictRate,retries,retryRate,avgRetries,mode,loadModel
tursodb-concurrent,tursodb,concurrent,insert,kv,single,1,50,1,5,300,0.9836,0.15,1535.8,3857.27,3857.27,3857.27,1906.14,3857.27,1210,,5,5,5,0,0,0,0.0000,0,0.0000,0.0000,edge,constant
tursodb-concurrent,tursodb,concurrent,insert,kv,single,1,100,1,1,7057,0.9999,0.03,416.57,416.57,416.57,416.57,416.57,416.57,289,,1,1,1,0,0,0,0.0000,0,0.0000,0.0000,edge,constant
tursodb-concurrent,tursodb,concurrent,insert,kv,single,1,200,1,1,19999,1.0000,0.03,1326.07,1326.07,1326.07,1326.07,1326.07,1326.07,1211,,1,1,1,0,0,0,0.0000,0,0.0000,0.0000,edge,constant
tursodb-concurrent,tursodb,concurrent,independent-writes,concurrency,single,1,1,1,59,0,0.0000,1.95,511.77,716.59,717.04,729.25,512.63,729.25,290,,59,59,59,0,0,0,0.0000,0,0.0000,0.0000,edge,constant
tursodb-concurrent,tursodb,concurrent,independent-writes,concurrency,single,1,10,1,159,1,0.0063,5.08,1992.91,2092.19,2128.03,2160.32,1925.8,2209.12,1861,,160,163,159,0,1,4,0.0245,3,0.0184,0.0187,edge,constant
tursodb-concurrent,tursodb,concurrent,independent-writes,concurrency,single,1,50,1,4,300,0.9868,0.12,1631.88,4089.95,4089.95,4089.95,2321.88,4089.95,1444,,4,4,4,0,0,0,0.0000,0,0.0000,0.0000,edge,constant
tursodb-concurrent,tursodb,concurrent,independent-writes,concurrency,single,1,100,1,1,6907,0.9999,0.03,464.95,464.95,464.95,464.95,464.95,464.95,323,,1,1,1,0,0,0,0.0000,0,0.0000,0.0000,edge,constant
tursodb-concurrent,tursodb,concurrent,independent-writes,concurrency,single,1,200,1,1,19999,1.0000,0.03,894.88,894.88,894.88,894.88,894.88,894.88,771,,1,1,1,0,0,0,0.0000,0,0.0000,0.0000,edge,constant
tursodb-concurrent,tursodb,concurrent,hot-row-write,concurrency,single,1,1,1,61,0,0.0000,2.03,436.84,621.72,766,1085.67,492.66,1085.67,315,,61,61,61,0,0,0,0.0000,0,0.0000,0.0000,edge,constant
tursodb-concurrent,tursodb,concurrent,hot-row-write,concurrency,single,1,10,1,227,156,0.4073,7.33,567.98,995.66,1032.92,1080.94,636.28,1114.83,458,,383,1156,227,178,156,929,0.8036,773,0.6687,2.0183,edge,constant
tursodb-concurrent,tursodb,concurrent,hot-row-write,concurrency,single,1,50,1,269,1309,0.8295,8.65,588.43,1008.6,1047.63,1108.19,660.28,1200.95,469,,1578,5895,269,200,1309,5626,0.9544,4317,0.7323,2.7357,edge,constant
tursodb-concurrent,tursodb,concurrent,hot-row-write,concurrency,single,1,100,1,265,2594,0.9073,8.52,772.89,1095.48,1157.37,1824,750.26,2189.83,653,,2859,11062,265,211,2594,10797,0.9760,8203,0.7415,2.8692,edge,constant
tursodb-concurrent,tursodb,concurrent,hot-row-write,concurrency,single,1,200,1,176,3571,0.9530,5.65,1161.71,1675.41,1776.93,1869.51,1122.14,2071.64,1051,,3673,14432,176,138,3497,14256,0.9878,10759,0.7455,2.9292,edge,constant
d1-eeur,d1,none,point-read,kv,single,1,1,1,210,0,0.0000,6.99,139.79,154.71,163.68,239.18,143.07,301.15,32,,,,,,,,,,,,edge,constant
d1-eeur,d1,none,point-read,kv,single,1,10,1,2105,0,0.0000,69.81,136.79,157.19,167.77,210,142.86,2110.21,34,,,,,,,,,,,,edge,constant
d1-eeur,d1,none,point-read,kv,single,1,50,1,6707,0,0.0000,221.83,220.83,275.3,324.75,489.81,225.12,2039.96,108,,,,,,,,,,,,edge,constant
d1-eeur,d1,none,point-read,kv,single,1,100,1,8096,0,0.0000,267.75,356.1,483.03,555.59,634.99,373.31,2439.1,213,,,,,,,,,,,,edge,constant
d1-eeur,d1,none,point-read,kv,single,1,200,1,9975,0,0.0000,332.07,581.06,790.09,914.54,1057.06,601.78,1833.48,402,,,,,,,,,,,,edge,constant
d1-eeur,d1,none,insert,kv,single,1,1,1,174,0,0.0000,5.8,161.05,205.01,207.12,298.45,172.36,392.36,49,,,,,,,,,,,,edge,constant
d1-eeur,d1,none,insert,kv,single,1,10,1,1693,0,0.0000,56.18,170.05,200.94,221.09,382.79,177.52,470.55,63,,,,,,,,,,,,edge,constant
d1-eeur,d1,none,insert,kv,single,1,50,1,6460,3,0.0005,214.2,216.47,283.78,347.31,548.5,230.33,2262.82,101,,,,,,,,,,,,edge,constant
d1-eeur,d1,none,insert,kv,single,1,100,1,8759,0,0.0000,291.31,328.04,456.48,520.88,840.69,343.11,2832.95,196,,,,,,,,,,,,edge,constant
d1-eeur,d1,none,insert,kv,single,1,200,1,10311,0,0.0000,340.81,583.3,794.95,881.01,1378.14,586.44,1825.77,412,,,,,,,,,,,,edge,constant
d1-eeur,d1,transaction,independent-writes,concurrency,single,1,1,1,166,0,0.0000,5.53,168.45,210.53,233.59,445.65,180.74,560.8,50,,,,,,,,,,,,edge,constant
d1-eeur,d1,transaction,independent-writes,concurrency,single,1,10,1,1738,0,0.0000,57.44,164.79,201.96,231.65,361.32,174.06,539.36,59,,,,,,,,,,,,edge,constant
d1-eeur,d1,transaction,independent-writes,concurrency,single,1,50,1,5556,0,0.0000,184.05,221.19,347.76,493.72,1260.33,270.74,3195.87,96,,,,,,,,,,,,edge,constant
d1-eeur,d1,transaction,independent-writes,concurrency,single,1,100,1,6220,0,0.0000,204.34,406.05,778.46,976.8,2323.38,488.93,3871.25,183,,,,,,,,,,,,edge,constant
d1-eeur,d1,transaction,independent-writes,concurrency,single,1,200,1,9601,1,0.0001,300.48,604.07,909.74,974.93,1520.7,630.39,4083.1,418,,,,,,,,,,,,edge,constant
d1-eeur,d1,transaction,hot-row-write,concurrency,single,1,1,1,188,0,0.0000,6.26,152.5,167.89,213.25,429.01,159.76,431.96,49,,,,,,,,,,,,edge,constant
d1-eeur,d1,transaction,hot-row-write,concurrency,single,1,10,1,1726,0,0.0000,57.28,165.71,206.52,228.29,271.35,174.11,643.74,59,,,,,,,,,,,,edge,constant
d1-eeur,d1,transaction,hot-row-write,concurrency,single,1,50,1,5991,1,0.0002,198.65,225.35,356.54,465.02,715.28,251.11,1325.15,108,,,,,,,,,,,,edge,constant
d1-eeur,d1,transaction,hot-row-write,concurrency,single,1,100,1,8820,2,0.0002,291.43,335.05,438.69,494.35,712.9,341.78,773.97,204,,,,,,,,,,,,edge,constant
d1-eeur,d1,transaction,hot-row-write,concurrency,single,1,200,1,10547,0,0.0000,346.48,558.44,723.07,1009.39,1124.21,575.01,2107.21,382,,,,,,,,,,,,edge,constant
