backend,test,workload,tenantMode,tenantCount,concurrency,run,success,errors,errorRate,rps,p50,p90,p95,p99,mean,max,dbP50,replicaRate,mode,loadModel
d1,mixed,lms,single,1,200,1,1977,23,0.0115,65.79,3038.91,4141.1,4327.61,4651.85,2914.95,4823.11,2910,,edge,constant
d1,mixed,lms,single,1,200,2,2000,0,0.0000,72.61,2784.73,3772.14,3892.21,4335.06,2685.16,4523.41,2679,,edge,constant
d1,mixed,lms,single,1,200,3,1998,2,0.0010,78.23,2594.03,3448.38,3759,4295.44,2489.44,4653.74,2514,,edge,constant
d1-eeur,lesson-page,lms,single,1,1,1,272,0,0.0000,4.52,204.5,306.77,307.29,318.14,221.15,390.75,138,,edge,constant
d1-eeur,lesson-page,lms,single,1,1,2,304,0,0.0000,5.06,192.57,212.2,222.96,328.7,197.41,390.79,131,,edge,constant
d1-eeur,lesson-page,lms,single,1,1,3,193,0,0.0000,3.2,241.2,503.49,537.33,902.63,312.28,1295.5,138,,edge,constant
d1-eeur,lesson-page,lms,single,1,10,1,2000,0,0.0000,44.82,208.09,266.66,314.9,461.72,222.12,3198.85,142,,edge,constant
d1-eeur,lesson-page,lms,single,1,10,2,1998,2,0.0010,44.19,201.3,240.05,279.06,442.44,215.29,3155.07,138,,edge,constant
d1-eeur,lesson-page,lms,single,1,10,3,2000,0,0.0000,47.22,201.05,237.88,257.41,410.08,211.27,1570.04,135,,edge,constant
d1-eeur,lesson-page,lms,single,1,50,1,2000,0,0.0000,85.79,564.09,731.82,801.63,989.01,578.85,1291.63,482,,edge,constant
d1-eeur,lesson-page,lms,single,1,50,2,2000,0,0.0000,85.96,584.61,690.2,722.86,856.86,577.26,865.3,504,,edge,constant
d1-eeur,lesson-page,lms,single,1,50,3,2000,0,0.0000,87.66,551.1,666.92,775.58,852.6,559.75,1177.86,479,,edge,constant
d1-eeur,lesson-page,lms,single,1,200,1,1999,1,0.0005,99.45,1990.08,2357.21,2435.11,3064.57,1980.91,3430.79,1834,,edge,constant
d1-eeur,lesson-page,lms,single,1,200,2,2000,0,0.0000,101.74,1940.43,2197.47,2272.98,3043.63,1935.19,3059.11,1866,,edge,constant
d1-eeur,lesson-page,lms,single,1,200,3,1840,160,0.0800,82.02,2135.83,2668.79,2693.18,3321.96,2188.59,3368.36,2035,,edge,constant
d1-eeur,mixed,lms,single,1,1,1,243,0,0.0000,4.04,204.62,307.19,467.6,1435.95,247.49,2808.75,85,,edge,constant
d1-eeur,mixed,lms,single,1,1,2,211,1,0.0047,3.51,204.74,307.13,379.85,2048.09,261.09,3789.52,87,,edge,constant
d1-eeur,mixed,lms,single,1,1,3,281,0,0.0000,4.68,204.58,307.06,309.21,572.01,213.82,840.15,86,,edge,constant
d1-eeur,mixed,lms,single,1,10,1,2000,0,0.0000,43.13,207.14,341.75,433.37,605.34,231.01,1203.83,117,,edge,constant
d1-eeur,mixed,lms,single,1,10,2,2000,0,0.0000,42.21,205.05,343.97,435.14,595.03,236.51,2723.99,113,,edge,constant
d1-eeur,mixed,lms,single,1,10,3,2000,0,0.0000,37.92,207.32,420.96,497.52,1192.44,260.91,2426.1,114,,edge,constant
d1-eeur,mixed,lms,single,1,50,1,2000,0,0.0000,103.03,444.84,696.05,787.34,1345.32,477.28,2715.91,334,,edge,constant
d1-eeur,mixed,lms,single,1,50,2,2000,0,0.0000,98.34,426.1,739.96,828.79,1638.95,486.86,4644.94,303,,edge,constant
d1-eeur,mixed,lms,single,1,50,3,1999,1,0.0005,97.12,428.38,706.61,810.47,1606.75,481.16,3065.77,291,,edge,constant
d1-eeur,mixed,lms,single,1,200,1,2000,0,0.0000,106.42,1719.78,2436.22,2954.81,3619.38,1702.84,4322.95,1487,,edge,constant
d1-eeur,mixed,lms,single,1,200,2,1999,1,0.0005,108.71,1632.28,2359.38,2576.34,3335.7,1646.94,4702.1,1381,,edge,constant
d1-eeur,mixed,lms,single,1,200,3,1998,2,0.0010,106.95,1595.17,2264.39,2447.12,3081.17,1596.35,4920.62,1316,,edge,constant
turso-reused,lesson-page,lms,single,1,1,1,79,0,0.0000,1.31,614.75,1228.64,1944.56,2047.6,765.94,2047.6,166,,edge,constant
turso-reused,lesson-page,lms,single,1,1,2,67,0,0.0000,1.11,640.1,1734.34,1944.97,2355.59,898.89,2355.59,140,,edge,constant
turso-reused,lesson-page,lms,single,1,1,3,65,0,0.0000,1.08,666.65,1898.38,2044.41,2559.79,929.51,2559.79,140,,edge,constant
turso-reused,lesson-page,lms,single,1,10,1,2000,0,0.0000,35.52,207.36,552.3,619.95,1616.88,276.75,3184.59,142,,edge,constant
turso-reused,lesson-page,lms,single,1,10,2,2000,0,0.0000,37.17,203.2,304.25,630.16,1726.94,266.87,3869.56,143,,edge,constant
turso-reused,lesson-page,lms,single,1,10,3,2000,0,0.0000,35.15,205.47,530.94,683.26,1868.37,282.66,3906.09,142,,edge,constant
turso-reused,lesson-page,lms,single,1,50,1,1952,48,0.0240,103.52,210.18,550.03,628.14,1494.88,289.1,2879.14,142,,edge,constant
turso-reused,lesson-page,lms,single,1,50,2,1945,55,0.0275,101.04,210.14,500.58,665.11,1662.14,279.03,2896.57,137,,edge,constant
turso-reused,lesson-page,lms,single,1,50,3,1984,16,0.0080,94.34,272.45,684.1,854.54,1976.82,393.77,4304.06,145,,edge,constant
turso-reused,lesson-page,lms,single,1,200,1,1924,76,0.0380,198.57,217.87,871.29,1341.74,2251.21,401.81,3920.03,144,,edge,constant
turso-reused,lesson-page,lms,single,1,200,2,1752,248,0.1240,153.1,268.14,594.95,902.68,1696.28,377.56,2381.72,151,,edge,constant
turso-reused,lesson-page,lms,single,1,200,3,1847,153,0.0765,168.19,275.54,561.65,729.11,1398.14,365.92,3702.73,140,,edge,constant
turso-reused,mixed,lms,single,1,1,1,242,0,0.0000,4.03,273.28,307.44,307.55,381.23,247.89,548.37,153,,edge,constant
turso-reused,mixed,lms,single,1,1,2,241,0,0.0000,4.01,270.34,307.39,307.72,315.81,249.07,358.84,153,,edge,constant
turso-reused,mixed,lms,single,1,1,3,196,2,0.0101,3.21,292.95,307.83,366.6,453.47,260.11,510.89,158,,edge,constant
turso-reused,mixed,lms,single,1,10,1,1987,13,0.0065,37.97,197.98,350.58,464.87,633.02,229.41,1940.87,111,,edge,constant
turso-reused,mixed,lms,single,1,10,2,1986,14,0.0070,36.45,206.37,323.74,477.23,567.19,230.39,1966.47,118,,edge,constant
turso-reused,mixed,lms,single,1,10,3,1493,7,0.0047,24.61,293.71,564.84,618.63,1519.11,380.56,2132.24,155,,edge,constant
turso-reused,mixed,lms,single,1,50,1,1917,83,0.0415,71.32,266.86,589.03,797.07,1624.7,378.53,2355.87,155,,edge,constant
turso-reused,mixed,lms,single,1,50,2,1958,42,0.0210,83.79,280.19,610.22,796.34,1682.1,393.18,2594.7,161,,edge,constant
turso-reused,mixed,lms,single,1,50,3,1970,30,0.0150,85.65,295.56,622.06,714.61,1810.26,408,3461.07,159,,edge,constant
turso-reused,mixed,lms,single,1,200,1,1766,234,0.1170,121.97,398.06,1327.81,1708.9,2580.25,574.42,4744.56,165,,edge,constant
turso-reused,mixed,lms,single,1,200,2,1754,246,0.1230,119.18,447.85,766.94,1498.78,2130.06,508.54,4380.59,158,,edge,constant
turso-reused,mixed,lms,single,1,200,3,1775,225,0.1125,139.59,330.5,718.39,1207.1,2209.28,442.69,3137.16,164,,edge,constant
d1-rr,lesson-page,lms,single,1,1,1,119,0,0.0000,1.97,495.95,566.39,636.12,1393.96,507.51,1530.9,153,1.0000,edge,constant
d1-rr,lesson-page,lms,single,1,1,2,118,0,0.0000,1.96,484.83,614.53,616.24,1432.92,510.19,1515.93,164,1.0000,edge,constant
d1-rr,lesson-page,lms,single,1,1,3,98,0,0.0000,1.63,533.24,716.12,1444.14,1740.68,612.42,1740.68,165,1.0000,edge,constant
d1-rr,lesson-page,lms,single,1,10,1,1739,0,0.0000,28.74,292.02,542.17,602.15,1012.85,346.17,2037.36,195,0.8505,edge,constant
d1-rr,lesson-page,lms,single,1,10,2,1810,0,0.0000,29.37,282.57,496.09,580.22,1479.3,333.29,2583.81,197,0.8552,edge,constant
d1-rr,lesson-page,lms,single,1,10,3,1796,0,0.0000,29.76,286.03,527.35,595.27,1464.5,335.42,2185.68,202,0.8558,edge,constant
d1-rr,lesson-page,lms,single,1,50,1,2000,0,0.0000,49.83,1046.35,1416.26,1566.53,2542.55,970.35,4416.29,894,0.7485,edge,constant
d1-rr,lesson-page,lms,single,1,50,2,2000,0,0.0000,48.37,1015.75,1391.57,1576.02,2120.23,1021.6,3421.31,884,0.8535,edge,constant
d1-rr,lesson-page,lms,single,1,50,3,2000,0,0.0000,45.05,1036.45,1426.65,1618.44,2442.76,1079.29,3974.08,903,0.8915,edge,constant
d1-rr,lesson-page,lms,single,1,200,1,1618,382,0.1910,52.02,2722.16,4549.37,4665.91,4906.51,2544.42,4996.82,2651,0.5080,edge,constant
d1-rr,lesson-page,lms,single,1,200,2,1834,166,0.0830,55.62,3967.5,4719.68,4870.91,4979.68,2888.31,4999.61,3873,0.6543,edge,constant
d1-rr,lesson-page,lms,single,1,200,3,1762,238,0.1190,58.09,3597.01,4641.57,4772.96,4925.45,2642.3,4999.76,3478,0.5783,edge,constant
d1-rr,mixed,lms,single,1,1,1,198,0,0.0000,3.29,306.94,409.4,441,680.45,303.77,1331.35,146,0.8636,edge,constant
d1-rr,mixed,lms,single,1,1,2,210,0,0.0000,3.49,306.93,371.59,409.57,572.8,286.65,704.89,146,0.8571,edge,constant
d1-rr,mixed,lms,single,1,1,3,206,0,0.0000,3.42,306.93,408.62,409.73,584.67,292.23,921.68,147,0.8641,edge,constant
d1-rr,mixed,lms,single,1,10,1,1354,1,0.0007,22.42,300.08,695.5,903.64,1905.03,441.14,3609.6,173,0.8560,edge,constant
d1-rr,mixed,lms,single,1,10,2,1187,0,0.0000,19.59,326.66,857.76,1446.62,2512.09,507.67,3349.6,173,0.8543,edge,constant
d1-rr,mixed,lms,single,1,10,3,1404,0,0.0000,22.73,291.58,739.77,833.08,2038.75,431.2,2683.76,181,0.8568,edge,constant
d1-rr,mixed,lms,single,1,50,1,1999,1,0.0005,49.79,941.17,1480.79,1798.65,2567.94,958.8,3898.49,744,0.6923,edge,constant
d1-rr,mixed,lms,single,1,50,2,1998,2,0.0010,47.84,917.42,1480.34,1763,2675.12,953.32,2987.61,678,0.6997,edge,constant
d1-rr,mixed,lms,single,1,50,3,1989,11,0.0055,45.75,1018.46,1639.22,1904.27,2848.2,1039.28,4131.22,720,0.7084,edge,constant
d1-rr,mixed,lms,single,1,200,1,1387,613,0.3065,43.93,1115.9,4557.66,4810.42,4980.59,1982.26,4999.68,778,0.3684,edge,constant
d1-rr,mixed,lms,single,1,200,2,1449,551,0.2755,46.83,1640.64,4395.24,4728.54,4930.79,1994.6,4999.09,1362,0.4251,edge,constant
d1-rr,mixed,lms,single,1,200,3,1536,464,0.2320,45.7,2564.2,4654.95,4817.46,4953,2507.99,4997.83,2000,0.5573,edge,constant
