backend,engine,transactionMode,test,workload,tenantMode,tenantCount,concurrency,run,success,errors,errorRate,rps,p50,p90,p95,p99,mean,max,dbP50,replicaRate,attempted,attemptsTotal,committed,successAfterRetry,failedAfterRetries,conflicts,conflictRate,retries,retryRate,avgRetries,mode,loadModel
tursodb-reused,tursodb,none,point-read,kv,single,1,50,1,6149,1,0.0002,305.27,146.43,189.81,253.79,506.01,162.43,742.08,39,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,insert,kv,single,1,1,1,51,0,0.0000,2.5,409.22,474.82,716.89,722.06,399.59,722.06,177,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,insert,kv,single,1,10,1,227,0,0.0000,10.71,845.71,1282.2,1335.97,1379.18,907.05,1508.23,737,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,insert,kv,single,1,50,1,309,1067,0.7754,12.92,3298.06,3933.06,4035.34,4264.01,3060.23,4281.09,3195,,,,,,,,,,,,edge,constant
tursodb-reused,,,independent-writes,concurrency,single,1,1,1,0,178,1.0000,0,0,0,0,0,0,0,,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,transaction,independent-writes,concurrency,single,1,10,1,155,1479,0.9051,7.65,275.11,297.54,325.48,430.24,270.71,444.49,174,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,transaction,independent-writes,concurrency,single,1,50,1,271,1298,0.8273,10.84,3571.86,4176.49,4385.45,4854.41,3488.08,4985.97,3458,,,,,,,,,,,,edge,constant
tursodb-reused,,,hot-row-write,concurrency,single,1,1,1,0,179,1.0000,0,0,0,0,0,0,0,,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,transaction,hot-row-write,concurrency,single,1,10,1,212,1249,0.8549,10.48,252.12,409.28,419.62,576.4,284.77,634.62,142,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,transaction,hot-row-write,concurrency,single,1,50,1,254,1153,0.8195,10.18,3782.51,4406.84,4490.8,4806.85,3548.6,4944.63,3675,,,,,,,,,,,,edge,constant
tursodb-concurrent,tursodb,none,point-read,kv,single,1,1,1,48,119,0.7126,2.39,138.71,155.94,159.62,183.09,142.38,183.09,38,,,,,,,,,,,,edge,constant
tursodb-concurrent,tursodb,none,point-read,kv,single,1,10,1,943,318,0.2522,46.98,141.84,266.62,334.51,441.5,169.07,786.51,38,,,,,,,,,,,,edge,constant
tursodb-concurrent,tursodb,none,point-read,kv,single,1,50,1,3831,2135,0.3579,190.27,158.87,233.95,270.1,345.52,176.49,520.28,38,,,,,,,,,,,,edge,constant
tursodb-concurrent,,,insert,kv,single,1,1,1,0,175,1.0000,0,0,0,0,0,0,0,,,,,,,,,,,,,edge,constant
tursodb-concurrent,,,insert,kv,single,1,10,1,0,1618,1.0000,0,0,0,0,0,0,0,,,,,,,,,,,,,edge,constant
tursodb-concurrent,tursodb,concurrent,insert,kv,single,1,50,1,7,3507,0.9980,0.28,2483.14,4553.8,4553.8,4553.8,2488.75,4553.8,2367,,7,7,7,0,0,0,0.0000,0,0.0000,0.0000,edge,constant
tursodb-concurrent,,,independent-writes,concurrency,single,1,1,1,0,121,1.0000,0,0,0,0,0,0,0,,,,,,,,,,,,,edge,constant
tursodb-concurrent,,,independent-writes,concurrency,single,1,10,1,0,1447,1.0000,0,0,0,0,0,0,0,,,,,,,,,,,,,edge,constant
tursodb-concurrent,tursodb,concurrent,independent-writes,concurrency,single,1,50,1,0,4853,1.0000,0,0,0,0,0,0,0,,,1,4,0,0,1,4,1.0000,3,0.7500,3.0000,edge,constant
tursodb-concurrent,,,hot-row-write,concurrency,single,1,1,1,0,153,1.0000,0,0,0,0,0,0,0,,,,,,,,,,,,,edge,constant
tursodb-concurrent,,,hot-row-write,concurrency,single,1,10,1,0,432,1.0000,0,0,0,0,0,0,0,,,,,,,,,,,,,edge,constant
tursodb-concurrent,tursodb,concurrent,hot-row-write,concurrency,single,1,50,1,0,3768,1.0000,0,0,0,0,0,0,0,,,112,448,0,0,112,448,1.0000,336,0.7500,3.0000,edge,constant
d1-eeur,d1,none,point-read,kv,single,1,1,1,121,0,0.0000,6.05,150.78,184.68,226.2,343.64,165.37,839.82,37,,,,,,,,,,,,edge,constant
d1-eeur,d1,none,point-read,kv,single,1,10,1,1255,0,0.0000,62.38,144.3,179.26,223.27,447.56,160.05,1602.96,37,,,,,,,,,,,,edge,constant
d1-eeur,d1,none,point-read,kv,single,1,50,1,4321,0,0.0000,214.16,232.54,286.72,339.91,392.14,232.85,1177.61,113,,,,,,,,,,,,edge,constant
d1-eeur,d1,none,insert,kv,single,1,1,1,107,0,0.0000,5.33,164.14,231.63,269.59,643.96,187.59,644.3,52,,,,,,,,,,,,edge,constant
d1-eeur,d1,none,insert,kv,single,1,10,1,1090,0,0.0000,54.09,171.9,212.55,271.97,408.39,184.35,734.23,66,,,,,,,,,,,,edge,constant
d1-eeur,d1,none,insert,kv,single,1,50,1,4435,0,0.0000,220.16,213.63,294.56,345.28,450.55,226.24,1798.43,98,,,,,,,,,,,,edge,constant
d1-eeur,d1,transaction,independent-writes,concurrency,single,1,1,1,122,0,0.0000,6.09,156.46,186.7,209.24,336.82,164.17,348.11,51,,,,,,,,,,,,edge,constant
d1-eeur,d1,transaction,independent-writes,concurrency,single,1,10,1,1084,0,0.0000,53.79,171.82,202.5,283.86,522.33,185.37,629.05,66,,,,,,,,,,,,edge,constant
d1-eeur,d1,transaction,independent-writes,concurrency,single,1,50,1,4180,0,0.0000,207.91,229.41,290.89,352.13,472.98,239.62,928.54,110,,,,,,,,,,,,edge,constant
d1-eeur,d1,transaction,hot-row-write,concurrency,single,1,1,1,113,0,0.0000,5.63,153.87,205.36,279.5,474.49,177.52,921.57,49,,,,,,,,,,,,edge,constant
d1-eeur,d1,transaction,hot-row-write,concurrency,single,1,10,1,1040,0,0.0000,51.61,169.4,221.22,281.11,751.98,193.16,1037.2,63,,,,,,,,,,,,edge,constant
d1-eeur,d1,transaction,hot-row-write,concurrency,single,1,50,1,4445,0,0.0000,219.89,223.64,270.18,295.93,437.38,226.86,502.45,102,,,,,,,,,,,,edge,constant
